"order_id","customer_id","city","state","status","date_purchased","date_delivered","order_item_id","product_name","price","freight_value","review_score","comment"
"00010242fe8c5a6d1ba2dd792cb16214","3ce436f183e68e07877b285a838db11a","campos dos goytacazes","RJ","delivered  ","2017-09-13 08:59:02","2017-09-20 23:43:48","1 ","cool_stuff",58.9,13.29,5,NULL
"00018f77f2f0320c557190d7a144bdd3","f6dd3ec061db4e3987629fe6b26e5cce","santa fe do sul","SP","delivered  ","2017-04-26 10:53:06","2017-05-12 16:04:24","1 ","pet_shop",239.9,19.93,4,NULL
"0009c9a17f916a706d71784483a5d643","8a250edc40ebc5c3940ebc940f16a7eb","campinas","SP","delivered  ","2018-04-25 09:10:41","2018-04-30 17:54:25","1 ","consoles_games",639.0,11.34,4,NULL
"000e562887b1f2006d75e0be9558292e","2b01d668726fb0b751c55918c0437b7b","cubatao","SP","delivered  ","2018-02-22 11:54:42","2018-03-12 18:46:34","1 ","cool_stuff",25.0,16.11,3,NULL
"0010b2e5201cc5f1ae7e9c6cc8f5bd00","57ef317d4818cb42680fc9dfd13867ce","rio de janeiro","RJ","delivered  ","2017-09-11 17:39:33","2017-09-23 13:21:21","1 ","cool_stuff",48.9,16.6,5,NULL
"001862358bf858722e1e2ae000cfed8b","2cf869dd40c98f29686f636d83545cce","cunha","SP","delivered  ","2018-02-06 19:11:57","2018-02-15 22:57:01","1 ","cool_stuff",99.99,13.72,5,NULL
"001daeb0eddc45b999bad0801ad9d273","3ba02060e681d361d603d5f7ef0a730b","itapicuru","BA","delivered  ","2017-05-17 23:19:34","2017-06-08 15:34:07","1 ","pet_shop",38.33,16.79,5,NULL
"0046176ff0dbc2a178b7885355dfbb71","6cae94f1f58ab679c23ceb753967c9bf","nova lima","MG","delivered  ","2018-05-29 19:22:17","2018-06-04 18:18:29","1 ","consoles_games",121.99,15.73,5,NULL
"004fb11815bc03b01b20a614eef69d14","9e2690a7ad4a0fd8bbf0a5b355d5e6ea","bom jesus da lapa","BA","delivered  ","2017-11-25 13:56:55","2017-12-16 14:31:43","1 ","cool_stuff",72.99,19.75,5,NULL
"004fb5e6f90a178dc74ad2b016649249","176a76443d14508cc976f1d84a44921d","ourinhos","SP","delivered  ","2017-06-11 09:46:11","2017-06-16 16:27:55","1 ","cool_stuff",129.99,13.93,5,NULL
"0064d74f7de7917d54768d7722ad56ac","29dbee0c474f373b72267a9e886522ee","niteroi","RJ","delivered  ","2017-09-10 21:45:29","2017-09-14 17:26:40","1 ","cool_stuff",189.9,31.17,5,NULL
"00946f674d880be1f188abc10ad7cf46","9583b047c90d4aa1c5c68b4065ba7f4e","osasco","SP","delivered  ","2017-12-09 19:11:22","2017-12-17 10:19:09","1 ","pet_shop",99.9,18.57,4,NULL
